"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"9015","D","John","Carlson","7.2","1","5200","SJ@WAS","WAS","SJ","","","",""
"8274","C","Paul","Stastny","1.4","2","5200","STL@CGY","STL","CGY","","","",""
"8596","C","Jordan","Staal","0.6","2","5200","FLA@CAR","CAR","FLA","","","",""
"8310","D","Kris","Russell","0.2","2","5100","STL@CGY","CGY","STL","","","",""
"8535","C","Mike","Fisher","0.5","2","5100","NSH@NJ","NSH","NJ","","","",""
"14561","RW","Jaromir","Jagr","5","2","5100","FLA@CAR","FLA","CAR","","","",""
"14126","G","Allan","York","2.7","11","5000","TB@DET","TB","DET","","","",""
"8726","D","Mike","Green","3","2","5000","TB@DET","DET","TB","","","",""
"15217","LW","Jonathan","Huberdeau","3.1","2","5000","FLA@CAR","FLA","CAR","","","",""
"12240","G","Edward","Pasquale","0","0","5000","MON@PIT","MON","PIT","","","",""
"8384","RW","Michael","Frolik","1.4","2","5000","STL@CGY","CGY","STL","","","",""
"8464","LW","Colin","Wilson","1.6","2","5000","NSH@NJ","NSH","NJ","","","",""
"14457","D","John","Klingberg","1","2","5000","EDM@DAL","DAL","EDM","","","",""
"8694","C","Henrik","Sedin","2.7","3","5000","VAN@LA","VAN","LA","","","",""
"55607","D","Aaron","Ekblad","2.2","2","4900","FLA@CAR","FLA","CAR","","","",""
"8403","RW","Justin","Williams","6.3","1","4900","SJ@WAS","WAS","SJ","","","",""
"8336","C","Valtteri","Filppula","3.9","3","4900","TB@DET","TB","DET","","","",""
"8601","RW","Pascal","Dupuis","3.1","16","4900","MON@PIT","PIT","MON","IR","Undisclosed","",""
"23233","C","Alex","Galchenyuk","4.5","3","4900","MON@PIT","MON","PIT","","","",""
"9189","C","Mikael","Backlund","-0.5","2","4800","STL@CGY","CGY","STL","","","",""
"8341","RW","Justin","Abdelkader","10.8","2","4800","TB@DET","DET","TB","","","",""
"41393","C","Aleksander","Barkov","3.8","2","4800","FLA@CAR","FLA","CAR","","","",""
"12289","C","Jori","Lehtera","1.7","2","4800","STL@CGY","STL","CGY","","","",""
"8611","D","Alex","Goligoski","2","2","4800","EDM@DAL","DAL","EDM","","","",""
"15356","D","Dougie","Hamilton","1.9","2","4700","STL@CGY","CGY","STL","","","",""
"8709","D","Alexander","Edler","3.2","2","4700","VAN@LA","VAN","LA","","","",""
"11122","C","Nick","Bonino","0.2","2","4700","MON@PIT","PIT","MON","","","",""
"8211","D","Tyler","Myers","1.8","3","4700","WPG@NYR","WPG","NYR","","","",""
"8446","D","Andrei","Markov","4.6","3","4700","MON@PIT","MON","PIT","","","",""
"8340","LW","Darren","Helm","2.1","75","4700","TB@DET","DET","TB","IR","Shoulder","",""
"41390","RW","Elias","Lindholm","1.8","2","4700","FLA@CAR","CAR","FLA","","","",""
"8474","LW","Patrik","Elias","1.7","69","4700","NSH@NJ","NJ","NSH","IR","Knee","",""
"8420","LW","Benoit","Pouliot","-0.3","2","4600","EDM@DAL","EDM","DAL","","","",""
"8703","LW","Alex","Burrows","2.7","3","4600","VAN@LA","VAN","LA","","","",""
"12439","LW","Jeff","Skinner","1.4","2","4600","FLA@CAR","CAR","FLA","","","",""
"15321","C","Mark","Scheifele","4.6","3","4500","WPG@NYR","WPG","NYR","","","",""
"11204","D","Jacob","Muzzin","-0.9","2","4500","VAN@LA","LA","VAN","","","",""
"58990","RW","Kevin","Hayes","3.6","3","4500","WPG@NYR","NYR","WPG","","","",""
